ADC,Support,Wins,Total Games,Winrate
42,223,10,13,0.7692307692307693
203,412,4,7,0.5714285714285714
104,223,7,14,0.5
82,201,0,2,0.0
18,7,4,6,0.6666666666666666
429,54,21,39,0.5384615384615384
82,106,1,1,1.0
15,223,34,73,0.4657534246575342
21,20,9,19,0.47368421052631576
110,26,54,95,0.5684210526315789
429,223,39,92,0.42391304347826086
85,1,4,5,0.8
18,36,1,7,0.14285714285714285
110,37,188,365,0.5150684931506849
203,157,1,1,1.0
67,79,43,76,0.5657894736842105
82,40,3,5,0.6
119,9,43,76,0.5657894736842105
29,98,19,41,0.4634146341463415
104,99,7,14,0.5
119,111,159,292,0.5445205479452054
67,106,7,13,0.5384615384615384
82,111,2,4,0.5
133,89,34,53,0.6415094339622641
42,99,9,22,0.4090909090909091
22,45,49,98,0.5
67,20,14,34,0.4117647058823529
82,412,15,25,0.6
82,267,1,1,1.0
6,54,1,4,0.25
104,1,16,31,0.5161290322580645
22,40,743,1353,0.549150036954915
4,111,2,4,0.5
18,32,4,6,0.6666666666666666
104,9,2,5,0.4
42,1,5,12,0.4166666666666667
222,79,35,64,0.546875
133,201,14,26,0.5384615384615384
51,79,80,165,0.48484848484848486
119,69,2,2,1.0
110,12,102,188,0.5425531914893617
133,17,0,1,0.0
22,74,5,8,0.625
119,7,4,5,0.8
22,20,13,32,0.40625
222,127,2,4,0.5
104,40,77,150,0.5133333333333333
104,43,15,30,0.5
17,89,12,21,0.5714285714285714
22,64,5,12,0.4166666666666667
42,6,0,1,0.0
126,99,0,3,0.0
104,268,0,1,0.0
18,268,0,1,0.0
51,10,20,48,0.4166666666666667
15,26,36,89,0.4044943820224719
51,31,6,15,0.4
96,53,137,234,0.5854700854700855
133,12,7,18,0.3888888888888889
18,99,97,188,0.5159574468085106
22,17,28,61,0.45901639344262296
222,9,35,75,0.4666666666666667
104,20,3,4,0.75
51,20,39,76,0.5131578947368421
104,50,1,2,0.5
96,44,25,40,0.625
150,143,0,1,0.0
96,1,16,35,0.45714285714285713
96,79,7,13,0.5384615384615384
18,115,3,11,0.2727272727272727
18,26,54,108,0.5
104,2,0,1,0.0
104,44,10,18,0.5555555555555556
119,17,33,51,0.6470588235294118
81,101,9,17,0.5294117647058824
18,20,9,27,0.3333333333333333
110,1,41,61,0.6721311475409836
96,16,154,288,0.5347222222222222
81,106,4,13,0.3076923076923077
51,106,15,28,0.5357142857142857
133,43,18,34,0.5294117647058824
17,40,2,11,0.18181818181818182
